State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2019,March,Monthly,Number of Infant Deaths,1800
UNITED STATES,2019,April,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,May,Monthly,Number of Infant Deaths,1800
UNITED STATES,2019,June,Monthly,Number of Infant Deaths,1800
UNITED STATES,2019,July,Monthly,Number of Infant Deaths,1800
UNITED STATES,2019,August,Monthly,Number of Infant Deaths,1800
UNITED STATES,2019,September,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,October,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,November,Monthly,Number of Infant Deaths,1700
UNITED STATES,2019,December,Monthly,Number of Infant Deaths,1800
UNITED STATES,2020,January,Monthly,Number of Infant Deaths,1800
UNITED STATES,2020,February,Monthly,Number of Infant Deaths,1700
UNITED STATES,2020,March,Monthly,Number of Infant Deaths,1600
UNITED STATES,2020,April,Monthly,Number of Infant Deaths,1500
UNITED STATES,2020,May,Monthly,Number of Infant Deaths,1600
UNITED STATES,2020,June,Monthly,Number of Infant Deaths,1600
UNITED STATES,2019,January,12 Month-ending,Number of Live Births,3786000
UNITED STATES,2019,February,12 Month-ending,Number of Live Births,3782000
UNITED STATES,2019,March,12 Month-ending,Number of Live Births,3770000
UNITED STATES,2019,April,12 Month-ending,Number of Live Births,3771000
UNITED STATES,2019,May,12 Month-ending,Number of Live Births,3767000
UNITED STATES,2019,June,12 Month-ending,Number of Live Births,3756000
UNITED STATES,2019,July,12 Month-ending,Number of Live Births,3760000
UNITED STATES,2019,August,12 Month-ending,Number of Live Births,3757000
UNITED STATES,2019,September,12 Month-ending,Number of Live Births,3760000
UNITED STATES,2019,October,12 Month-ending,Number of Live Births,3758000
UNITED STATES,2019,November,12 Month-ending,Number of Live Births,3749000
UNITED STATES,2019,December,12 Month-ending,Number of Live Births,3748000
UNITED STATES,2020,January,12 Month-ending,Number of Live Births,3742000
UNITED STATES,2020,February,12 Month-ending,Number of Live Births,3744000
UNITED STATES,2020,March,12 Month-ending,Number of Live Births,3741000
UNITED STATES,2020,April,12 Month-ending,Number of Live Births,3732000
UNITED STATES,2020,May,12 Month-ending,Number of Live Births,3716000
UNITED STATES,2020,June,12 Month-ending,Number of Live Births,3712000
UNITED STATES,2019,January,12 Month-ending,Number of Deaths,2806000
UNITED STATES,2019,February,12 Month-ending,Number of Deaths,2801000
UNITED STATES,2019,March,12 Month-ending,Number of Deaths,2807000
UNITED STATES,2019,April,12 Month-ending,Number of Deaths,2810000
UNITED STATES,2019,May,12 Month-ending,Number of Deaths,2817000
UNITED STATES,2019,June,12 Month-ending,Number of Deaths,2823000
UNITED STATES,2019,July,12 Month-ending,Number of Deaths,2827000
UNITED STATES,2019,August,12 Month-ending,Number of Deaths,2831000
UNITED STATES,2019,September,12 Month-ending,Number of Deaths,2834000
UNITED STATES,2019,October,12 Month-ending,Number of Deaths,2839000
UNITED STATES,2019,November,12 Month-ending,Number of Deaths,2846000
UNITED STATES,2019,December,12 Month-ending,Number of Deaths,2855000
UNITED STATES,2020,January,12 Month-ending,Number of Deaths,2861000
UNITED STATES,2020,February,12 Month-ending,Number of Deaths,2872000
UNITED STATES,2020,March,12 Month-ending,Number of Deaths,2886000
UNITED STATES,2020,April,12 Month-ending,Number of Deaths,2973000
UNITED STATES,2020,May,12 Month-ending,Number of Deaths,3015000
UNITED STATES,2020,June,12 Month-ending,Number of Deaths,3038000
UNITED STATES,2019,January,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,February,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,March,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,April,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,May,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,June,12 Month-ending,Number of Infant Deaths,21000
UNITED STATES,2019,July,12 Month-ending,Number of Infant Deaths,21000
UNITED STATES,2019,August,12 Month-ending,Number of Infant Deaths,21000
UNITED STATES,2019,September,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2019,October,12 Month-ending,Number of Infant Deaths,20800
UNITED STATES,2019,November,12 Month-ending,Number of Infant Deaths,20800
UNITED STATES,2019,December,12 Month-ending,Number of Infant Deaths,20900
UNITED STATES,2020,January,12 Month-ending,Number of Infant Deaths,21000
UNITED STATES,2020,February,12 Month-ending,Number of Infant Deaths,21000
UNITED STATES,2020,March,12 Month-ending,Number of Infant Deaths,20800
UNITED STATES,2020,April,12 Month-ending,Number of Infant Deaths,20600
UNITED STATES,2020,May,12 Month-ending,Number of Infant Deaths,20400
UNITED STATES,2020,June,12 Month-ending,Number of Infant Deaths,20200
ALABAMA,2019,January,Monthly,Number of Deaths,4904
ALASKA,2019,January,Monthly,Number of Deaths,417
ARIZONA,2019,January,Monthly,Number of Deaths,5655
ARKANSAS,2019,January,Monthly,Number of Deaths,2974
CALIFORNIA,2019,January,Monthly,Number of Deaths,24885
COLORADO,2019,January,Monthly,Number of Deaths,3539
CONNECTICUT,2019,January,Monthly,Number of Deaths,2897
DELAWARE,2019,January,Monthly,Number of Deaths,848
DISTRICT OF COLUMBIA,2019,January,Monthly,Number of Deaths,425
FLORIDA,2019,January,Monthly,Number of Deaths,18372
GEORGIA,2019,January,Monthly,Number of Deaths,7746
HAWAII,2019,January,Monthly,Number of Deaths,1020
IDAHO,2019,January,Monthly,Number of Deaths,1200
ILLINOIS,2019,January,Monthly,Number of Deaths,9749
INDIANA,2019,January,Monthly,Number of Deaths,5817
IOWA,2019,January,Monthly,Number of Deaths,2750
KANSAS,2019,January,Monthly,Number of Deaths,2515
KENTUCKY,2019,January,Monthly,Number of Deaths,4384
LOUISIANA,2019,January,Monthly,Number of Deaths,4131
MAINE,2019,January,Monthly,Number of Deaths,1345
MARYLAND,2019,January,Monthly,Number of Deaths,4573
MASSACHUSETTS,2019,January,Monthly,Number of Deaths,5545
MICHIGAN,2019,January,Monthly,Number of Deaths,8730
MINNESOTA,2019,January,Monthly,Number of Deaths,4101
MISSISSIPPI,2019,January,Monthly,Number of Deaths,2880
MISSOURI,2019,January,Monthly,Number of Deaths,5569
MONTANA,2019,January,Monthly,Number of Deaths,954
NEBRASKA,2019,January,Monthly,Number of Deaths,1595
NEVADA,2019,January,Monthly,Number of Deaths,2318
NEW HAMPSHIRE,2019,January,Monthly,Number of Deaths,1147
NEW JERSEY,2019,January,Monthly,Number of Deaths,6893
NEW MEXICO,2019,January,Monthly,Number of Deaths,1853
NEW YORK,2019,January,Monthly,Number of Deaths,14421
NORTH CAROLINA,2019,January,Monthly,Number of Deaths,8362
NORTH DAKOTA,2019,January,Monthly,Number of Deaths,572
OHIO,2019,January,Monthly,Number of Deaths,11320
OKLAHOMA,2019,January,Monthly,Number of Deaths,3694
OREGON,2019,January,Monthly,Number of Deaths,3249
PENNSYLVANIA,2019,January,Monthly,Number of Deaths,12278
RHODE ISLAND,2019,January,Monthly,Number of Deaths,988
SOUTH CAROLINA,2019,January,Monthly,Number of Deaths,4550
SOUTH DAKOTA,2019,January,Monthly,Number of Deaths,721
TENNESSEE,2019,January,Monthly,Number of Deaths,6281
TEXAS,2019,January,Monthly,Number of Deaths,18424
UTAH,2019,January,Monthly,Number of Deaths,1717
VERMONT,2019,January,Monthly,Number of Deaths,518
VIRGINIA,2019,January,Monthly,Number of Deaths,6133
WASHINGTON,2019,January,Monthly,Number of Deaths,5233
WEST VIRGINIA,2019,January,Monthly,Number of Deaths,2196
WISCONSIN,2019,January,Monthly,Number of Deaths,4839
WYOMING,2019,January,Monthly,Number of Deaths,444
PUERTO RICO,2019,January,Monthly,Number of Deaths,2816
ALABAMA,2019,February,Monthly,Number of Deaths,4416
ALASKA,2019,February,Monthly,Number of Deaths,373
ARIZONA,2019,February,Monthly,Number of Deaths,4841
ARKANSAS,2019,February,Monthly,Number of Deaths,2786
CALIFORNIA,2019,February,Monthly,Number of Deaths,22734
COLORADO,2019,February,Monthly,Number of Deaths,3204
CONNECTICUT,2019,February,Monthly,Number of Deaths,2681
DELAWARE,2019,February,Monthly,Number of Deaths,734
DISTRICT OF COLUMBIA,2019,February,Monthly,Number of Deaths,386
FLORIDA,2019,February,Monthly,Number of Deaths,16952
GEORGIA,2019,February,Monthly,Number of Deaths,6687
HAWAII,2019,February,Monthly,Number of Deaths,929
IDAHO,2019,February,Monthly,Number of Deaths,1241
ILLINOIS,2019,February,Monthly,Number of Deaths,8924
INDIANA,2019,February,Monthly,Number of Deaths,5374
IOWA,2019,February,Monthly,Number of Deaths,2492
KANSAS,2019,February,Monthly,Number of Deaths,2252
KENTUCKY,2019,February,Monthly,Number of Deaths,3971
LOUISIANA,2019,February,Monthly,Number of Deaths,3749
MAINE,2019,February,Monthly,Number of Deaths,1197
MARYLAND,2019,February,Monthly,Number of Deaths,4068
MASSACHUSETTS,2019,February,Monthly,Number of Deaths,4886
MICHIGAN,2019,February,Monthly,Number of Deaths,7820
MINNESOTA,2019,February,Monthly,Number of Deaths,3622
MISSISSIPPI,2019,February,Monthly,Number of Deaths,2751
MISSOURI,2019,February,Monthly,Number of Deaths,5122
MONTANA,2019,February,Monthly,Number of Deaths,880
NEBRASKA,2019,February,Monthly,Number of Deaths,1390
NEVADA,2019,February,Monthly,Number of Deaths,2101
NEW HAMPSHIRE,2019,February,Monthly,Number of Deaths,1071
NEW JERSEY,2019,February,Monthly,Number of Deaths,6335
NEW MEXICO,2019,February,Monthly,Number of Deaths,1568
NEW YORK,2019,February,Monthly,Number of Deaths,12790
NORTH CAROLINA,2019,February,Monthly,Number of Deaths,8108
NORTH DAKOTA,2019,February,Monthly,Number of Deaths,509
OHIO,2019,February,Monthly,Number of Deaths,9711
OKLAHOMA,2019,February,Monthly,Number of Deaths,3424
OREGON,2019,February,Monthly,Number of Deaths,2956
PENNSYLVANIA,2019,February,Monthly,Number of Deaths,10954
RHODE ISLAND,2019,February,Monthly,Number of Deaths,809
SOUTH CAROLINA,2019,February,Monthly,Number of Deaths,4157
SOUTH DAKOTA,2019,February,Monthly,Number of Deaths,645
TENNESSEE,2019,February,Monthly,Number of Deaths,5867
TEXAS,2019,February,Monthly,Number of Deaths,16313
UTAH,2019,February,Monthly,Number of Deaths,1469
VERMONT,2019,February,Monthly,Number of Deaths,478
VIRGINIA,2019,February,Monthly,Number of Deaths,5764
WASHINGTON,2019,February,Monthly,Number of Deaths,4828
WEST VIRGINIA,2019,February,Monthly,Number of Deaths,1873
WISCONSIN,2019,February,Monthly,Number of Deaths,4213
WYOMING,2019,February,Monthly,Number of Deaths,377
PUERTO RICO,2019,February,Monthly,Number of Deaths,2415
ALABAMA,2019,March,Monthly,Number of Deaths,4765
ALASKA,2019,March,Monthly,Number of Deaths,420
ARIZONA,2019,March,Monthly,Number of Deaths,5484
ARKANSAS,2019,March,Monthly,Number of Deaths,3060
CALIFORNIA,2019,March,Monthly,Number of Deaths,24662
COLORADO,2019,March,Monthly,Number of Deaths,3536
CONNECTICUT,2019,March,Monthly,Number of Deaths,2909
DELAWARE,2019,March,Monthly,Number of Deaths,827
DISTRICT OF COLUMBIA,2019,March,Monthly,Number of Deaths,394
FLORIDA,2019,March,Monthly,Number of Deaths,18466
GEORGIA,2019,March,Monthly,Number of Deaths,7527
HAWAII,2019,March,Monthly,Number of Deaths,1102
IDAHO,2019,March,Monthly,Number of Deaths,1272
ILLINOIS,2019,March,Monthly,Number of Deaths,9608
INDIANA,2019,March,Monthly,Number of Deaths,5861
IOWA,2019,March,Monthly,Number of Deaths,2715
KANSAS,2019,March,Monthly,Number of Deaths,2539
KENTUCKY,2019,March,Monthly,Number of Deaths,4468
LOUISIANA,2019,March,Monthly,Number of Deaths,4078
MAINE,2019,March,Monthly,Number of Deaths,1403
MARYLAND,2019,March,Monthly,Number of Deaths,4636
MASSACHUSETTS,2019,March,Monthly,Number of Deaths,5182
MICHIGAN,2019,March,Monthly,Number of Deaths,8703
MINNESOTA,2019,March,Monthly,Number of Deaths,3811
MISSISSIPPI,2019,March,Monthly,Number of Deaths,2843
MISSOURI,2019,March,Monthly,Number of Deaths,5575
MONTANA,2019,March,Monthly,Number of Deaths,933
NEBRASKA,2019,March,Monthly,Number of Deaths,1460
NEVADA,2019,March,Monthly,Number of Deaths,2251
NEW HAMPSHIRE,2019,March,Monthly,Number of Deaths,1114
NEW JERSEY,2019,March,Monthly,Number of Deaths,6717
NEW MEXICO,2019,March,Monthly,Number of Deaths,1736
NEW YORK,2019,March,Monthly,Number of Deaths,13988
NORTH CAROLINA,2019,March,Monthly,Number of Deaths,8437
NORTH DAKOTA,2019,March,Monthly,Number of Deaths,545
OHIO,2019,March,Monthly,Number of Deaths,11154
OKLAHOMA,2019,March,Monthly,Number of Deaths,3796
OREGON,2019,March,Monthly,Number of Deaths,3417
PENNSYLVANIA,2019,March,Monthly,Number of Deaths,12036
RHODE ISLAND,2019,March,Monthly,Number of Deaths,936
SOUTH CAROLINA,2019,March,Monthly,Number of Deaths,4518
SOUTH DAKOTA,2019,March,Monthly,Number of Deaths,704
TENNESSEE,2019,March,Monthly,Number of Deaths,6166
TEXAS,2019,March,Monthly,Number of Deaths,18012
UTAH,2019,March,Monthly,Number of Deaths,1693
VERMONT,2019,March,Monthly,Number of Deaths,534
VIRGINIA,2019,March,Monthly,Number of Deaths,6265
WASHINGTON,2019,March,Monthly,Number of Deaths,5304
WEST VIRGINIA,2019,March,Monthly,Number of Deaths,2132
WISCONSIN,2019,March,Monthly,Number of Deaths,4691
WYOMING,2019,March,Monthly,Number of Deaths,484
PUERTO RICO,2019,March,Monthly,Number of Deaths,2495
ALABAMA,2019,April,Monthly,Number of Deaths,4460
ALASKA,2019,April,Monthly,Number of Deaths,353
ARIZONA,2019,April,Monthly,Number of Deaths,5126
ARKANSAS,2019,April,Monthly,Number of Deaths,2715
CALIFORNIA,2019,April,Monthly,Number of Deaths,22253
COLORADO,2019,April,Monthly,Number of Deaths,3194
CONNECTICUT,2019,April,Monthly,Number of Deaths,2657
DELAWARE,2019,April,Monthly,Number of Deaths,698
DISTRICT OF COLUMBIA,2019,April,Monthly,Number of Deaths,403
FLORIDA,2019,April,Monthly,Number of Deaths,17671
GEORGIA,2019,April,Monthly,Number of Deaths,7137
HAWAII,2019,April,Monthly,Number of Deaths,963
IDAHO,2019,April,Monthly,Number of Deaths,1228
ILLINOIS,2019,April,Monthly,Number of Deaths,8872
INDIANA,2019,April,Monthly,Number of Deaths,5437
IOWA,2019,April,Monthly,Number of Deaths,2522
KANSAS,2019,April,Monthly,Number of Deaths,2201
KENTUCKY,2019,April,Monthly,Number of Deaths,4108
LOUISIANA,2019,April,Monthly,Number of Deaths,3706
MAINE,2019,April,Monthly,Number of Deaths,1271
MARYLAND,2019,April,Monthly,Number of Deaths,4241
MASSACHUSETTS,2019,April,Monthly,Number of Deaths,4888
MICHIGAN,2019,April,Monthly,Number of Deaths,8100
MINNESOTA,2019,April,Monthly,Number of Deaths,3621
MISSISSIPPI,2019,April,Monthly,Number of Deaths,2693
MISSOURI,2019,April,Monthly,Number of Deaths,5020
MONTANA,2019,April,Monthly,Number of Deaths,875
NEBRASKA,2019,April,Monthly,Number of Deaths,1413
NEVADA,2019,April,Monthly,Number of Deaths,2215
NEW HAMPSHIRE,2019,April,Monthly,Number of Deaths,1017
NEW JERSEY,2019,April,Monthly,Number of Deaths,5954
NEW MEXICO,2019,April,Monthly,Number of Deaths,1589
NEW YORK,2019,April,Monthly,Number of Deaths,12723
NORTH CAROLINA,2019,April,Monthly,Number of Deaths,7960
NORTH DAKOTA,2019,April,Monthly,Number of Deaths,581
OHIO,2019,April,Monthly,Number of Deaths,10193
OKLAHOMA,2019,April,Monthly,Number of Deaths,3316
OREGON,2019,April,Monthly,Number of Deaths,3083
PENNSYLVANIA,2019,April,Monthly,Number of Deaths,11054
RHODE ISLAND,2019,April,Monthly,Number of Deaths,825
SOUTH CAROLINA,2019,April,Monthly,Number of Deaths,4057
SOUTH DAKOTA,2019,April,Monthly,Number of Deaths,703
TENNESSEE,2019,April,Monthly,Number of Deaths,6108
TEXAS,2019,April,Monthly,Number of Deaths,16541
UTAH,2019,April,Monthly,Number of Deaths,1524
VERMONT,2019,April,Monthly,Number of Deaths,537
VIRGINIA,2019,April,Monthly,Number of Deaths,5789
WASHINGTON,2019,April,Monthly,Number of Deaths,4822
WEST VIRGINIA,2019,April,Monthly,Number of Deaths,1975
WISCONSIN,2019,April,Monthly,Number of Deaths,4443
WYOMING,2019,April,Monthly,Number of Deaths,373
PUERTO RICO,2019,April,Monthly,Number of Deaths,2331
ALABAMA,2019,May,Monthly,Number of Deaths,4559
ALASKA,2019,May,Monthly,Number of Deaths,401
ARIZONA,2019,May,Monthly,Number of Deaths,5098
ARKANSAS,2019,May,Monthly,Number of Deaths,2686
CALIFORNIA,2019,May,Monthly,Number of Deaths,22334
COLORADO,2019,May,Monthly,Number of Deaths,3341
CONNECTICUT,2019,May,Monthly,Number of Deaths,2538
DELAWARE,2019,May,Monthly,Number of Deaths,752
DISTRICT OF COLUMBIA,2019,May,Monthly,Number of Deaths,374
FLORIDA,2019,May,Monthly,Number of Deaths,17602
GEORGIA,2019,May,Monthly,Number of Deaths,7080
HAWAII,2019,May,Monthly,Number of Deaths,999
IDAHO,2019,May,Monthly,Number of Deaths,1237
ILLINOIS,2019,May,Monthly,Number of Deaths,9143
INDIANA,2019,May,Monthly,Number of Deaths,5577
IOWA,2019,May,Monthly,Number of Deaths,2477
KANSAS,2019,May,Monthly,Number of Deaths,2277
KENTUCKY,2019,May,Monthly,Number of Deaths,4002
LOUISIANA,2019,May,Monthly,Number of Deaths,3752
MAINE,2019,May,Monthly,Number of Deaths,1197
MARYLAND,2019,May,Monthly,Number of Deaths,4138
MASSACHUSETTS,2019,May,Monthly,Number of Deaths,4716
MICHIGAN,2019,May,Monthly,Number of Deaths,8281
MINNESOTA,2019,May,Monthly,Number of Deaths,3871
MISSISSIPPI,2019,May,Monthly,Number of Deaths,2845
MISSOURI,2019,May,Monthly,Number of Deaths,5230
MONTANA,2019,May,Monthly,Number of Deaths,826
NEBRASKA,2019,May,Monthly,Number of Deaths,1387
NEVADA,2019,May,Monthly,Number of Deaths,2064
NEW HAMPSHIRE,2019,May,Monthly,Number of Deaths,1036
NEW JERSEY,2019,May,Monthly,Number of Deaths,6159
NEW MEXICO,2019,May,Monthly,Number of Deaths,1592
NEW YORK,2019,May,Monthly,Number of Deaths,12846
NORTH CAROLINA,2019,May,Monthly,Number of Deaths,8027
NORTH DAKOTA,2019,May,Monthly,Number of Deaths,608
OHIO,2019,May,Monthly,Number of Deaths,9993
OKLAHOMA,2019,May,Monthly,Number of Deaths,3327
OREGON,2019,May,Monthly,Number of Deaths,3148
PENNSYLVANIA,2019,May,Monthly,Number of Deaths,10952
RHODE ISLAND,2019,May,Monthly,Number of Deaths,845
SOUTH CAROLINA,2019,May,Monthly,Number of Deaths,4363
SOUTH DAKOTA,2019,May,Monthly,Number of Deaths,705
TENNESSEE,2019,May,Monthly,Number of Deaths,6064
TEXAS,2019,May,Monthly,Number of Deaths,16551
UTAH,2019,May,Monthly,Number of Deaths,1633
VERMONT,2019,May,Monthly,Number of Deaths,455
VIRGINIA,2019,May,Monthly,Number of Deaths,5910
WASHINGTON,2019,May,Monthly,Number of Deaths,4940
WEST VIRGINIA,2019,May,Monthly,Number of Deaths,1990
WISCONSIN,2019,May,Monthly,Number of Deaths,4513
WYOMING,2019,May,Monthly,Number of Deaths,455
PUERTO RICO,2019,May,Monthly,Number of Deaths,2541
ALABAMA,2019,June,Monthly,Number of Deaths,4323
ALASKA,2019,June,Monthly,Number of Deaths,390
ARIZONA,2019,June,Monthly,Number of Deaths,4656
ARKANSAS,2019,June,Monthly,Number of Deaths,2522
CALIFORNIA,2019,June,Monthly,Number of Deaths,21392
COLORADO,2019,June,Monthly,Number of Deaths,3120
CONNECTICUT,2019,June,Monthly,Number of Deaths,2496
DELAWARE,2019,June,Monthly,Number of Deaths,718
DISTRICT OF COLUMBIA,2019,June,Monthly,Number of Deaths,359
FLORIDA,2019,June,Monthly,Number of Deaths,16611
GEORGIA,2019,June,Monthly,Number of Deaths,6736
HAWAII,2019,June,Monthly,Number of Deaths,961
IDAHO,2019,June,Monthly,Number of Deaths,1196
ILLINOIS,2019,June,Monthly,Number of Deaths,8533
INDIANA,2019,June,Monthly,Number of Deaths,5191
IOWA,2019,June,Monthly,Number of Deaths,2441
KANSAS,2019,June,Monthly,Number of Deaths,2207
KENTUCKY,2019,June,Monthly,Number of Deaths,3916
LOUISIANA,2019,June,Monthly,Number of Deaths,3692
MAINE,2019,June,Monthly,Number of Deaths,1170
MARYLAND,2019,June,Monthly,Number of Deaths,3992
MASSACHUSETTS,2019,June,Monthly,Number of Deaths,4528
MICHIGAN,2019,June,Monthly,Number of Deaths,7820
MINNESOTA,2019,June,Monthly,Number of Deaths,3465
MISSISSIPPI,2019,June,Monthly,Number of Deaths,2618
MISSOURI,2019,June,Monthly,Number of Deaths,4961
MONTANA,2019,June,Monthly,Number of Deaths,830
NEBRASKA,2019,June,Monthly,Number of Deaths,1280
NEVADA,2019,June,Monthly,Number of Deaths,2065
NEW HAMPSHIRE,2019,June,Monthly,Number of Deaths,922
NEW JERSEY,2019,June,Monthly,Number of Deaths,5888
NEW MEXICO,2019,June,Monthly,Number of Deaths,1554
NEW YORK,2019,June,Monthly,Number of Deaths,12217
NORTH CAROLINA,2019,June,Monthly,Number of Deaths,7728
NORTH DAKOTA,2019,June,Monthly,Number of Deaths,549
OHIO,2019,June,Monthly,Number of Deaths,9757
OKLAHOMA,2019,June,Monthly,Number of Deaths,3153
OREGON,2019,June,Monthly,Number of Deaths,2970
PENNSYLVANIA,2019,June,Monthly,Number of Deaths,10457
RHODE ISLAND,2019,June,Monthly,Number of Deaths,798
SOUTH CAROLINA,2019,June,Monthly,Number of Deaths,4117
SOUTH DAKOTA,2019,June,Monthly,Number of Deaths,648
TENNESSEE,2019,June,Monthly,Number of Deaths,5761
TEXAS,2019,June,Monthly,Number of Deaths,16084
UTAH,2019,June,Monthly,Number of Deaths,1472
VERMONT,2019,June,Monthly,Number of Deaths,474
VIRGINIA,2019,June,Monthly,Number of Deaths,5665
WASHINGTON,2019,June,Monthly,Number of Deaths,4604
WEST VIRGINIA,2019,June,Monthly,Number of Deaths,1911
WISCONSIN,2019,June,Monthly,Number of Deaths,4190
WYOMING,2019,June,Monthly,Number of Deaths,388
PUERTO RICO,2019,June,Monthly,Number of Deaths,2517
ALABAMA,2019,July,Monthly,Number of Deaths,4462
ALASKA,2019,July,Monthly,Number of Deaths,337
ARIZONA,2019,July,Monthly,Number of Deaths,4890
ARKANSAS,2019,July,Monthly,Number of Deaths,2591
CALIFORNIA,2019,July,Monthly,Number of Deaths,21267
COLORADO,2019,July,Monthly,Number of Deaths,3155
CONNECTICUT,2019,July,Monthly,Number of Deaths,2537
DELAWARE,2019,July,Monthly,Number of Deaths,769
DISTRICT OF COLUMBIA,2019,July,Monthly,Number of Deaths,407
FLORIDA,2019,July,Monthly,Number of Deaths,16913
GEORGIA,2019,July,Monthly,Number of Deaths,7028
HAWAII,2019,July,Monthly,Number of Deaths,988
IDAHO,2019,July,Monthly,Number of Deaths,1100
ILLINOIS,2019,July,Monthly,Number of Deaths,8637
INDIANA,2019,July,Monthly,Number of Deaths,5231
IOWA,2019,July,Monthly,Number of Deaths,2545
KANSAS,2019,July,Monthly,Number of Deaths,2219
KENTUCKY,2019,July,Monthly,Number of Deaths,3914
LOUISIANA,2019,July,Monthly,Number of Deaths,3657
MAINE,2019,July,Monthly,Number of Deaths,1214
MARYLAND,2019,July,Monthly,Number of Deaths,4047
MASSACHUSETTS,2019,July,Monthly,Number of Deaths,4686
MICHIGAN,2019,July,Monthly,Number of Deaths,8107
MINNESOTA,2019,July,Monthly,Number of Deaths,3616
MISSISSIPPI,2019,July,Monthly,Number of Deaths,2645
MISSOURI,2019,July,Monthly,Number of Deaths,5218
MONTANA,2019,July,Monthly,Number of Deaths,834
NEBRASKA,2019,July,Monthly,Number of Deaths,1347
NEVADA,2019,July,Monthly,Number of Deaths,2066
NEW HAMPSHIRE,2019,July,Monthly,Number of Deaths,990
NEW JERSEY,2019,July,Monthly,Number of Deaths,6094
NEW MEXICO,2019,July,Monthly,Number of Deaths,1566
NEW YORK,2019,July,Monthly,Number of Deaths,12665
NORTH CAROLINA,2019,July,Monthly,Number of Deaths,7571
NORTH DAKOTA,2019,July,Monthly,Number of Deaths,510
OHIO,2019,July,Monthly,Number of Deaths,9961
OKLAHOMA,2019,July,Monthly,Number of Deaths,3283
OREGON,2019,July,Monthly,Number of Deaths,2986
PENNSYLVANIA,2019,July,Monthly,Number of Deaths,10576
RHODE ISLAND,2019,July,Monthly,Number of Deaths,817
SOUTH CAROLINA,2019,July,Monthly,Number of Deaths,4047
SOUTH DAKOTA,2019,July,Monthly,Number of Deaths,641
TENNESSEE,2019,July,Monthly,Number of Deaths,5744
TEXAS,2019,July,Monthly,Number of Deaths,16458
UTAH,2019,July,Monthly,Number of Deaths,1523
VERMONT,2019,July,Monthly,Number of Deaths,452
VIRGINIA,2019,July,Monthly,Number of Deaths,5693
WASHINGTON,2019,July,Monthly,Number of Deaths,4715
WEST VIRGINIA,2019,July,Monthly,Number of Deaths,1827
WISCONSIN,2019,July,Monthly,Number of Deaths,4347
WYOMING,2019,July,Monthly,Number of Deaths,418
PUERTO RICO,2019,July,Monthly,Number of Deaths,2490
